gps_millis,timestamp,position_velocity,clock_drift_rate,position_jump_alert,clock_jump_alert,spoofing_alert
1387199082000.0,1387199082000.0,0.0,92.046875,False,False,False
1387199083000.0,1387199083000.0,0.0,92.328125,False,False,False
1387199084000.0,1387199084000.0,0.0,92.03125,False,False,False
1387199085000.0,1387199085000.0,0.0,92.34375,False,False,False
1387199086000.0,1387199086000.0,0.0,92.03125,False,False,False
1387199087000.0,1387199087000.0,0.0,92.328125,False,False,False
1387199088000.0,1387199088000.0,0.0,92.046875,False,False,False
1387199089000.0,1387199089000.0,0.125,92.03125,False,False,False
1387199090000.0,1387199090000.0,0.0,92.328125,False,False,False
1387199091000.0,1387199091000.0,0.0,92.03125,False,False,False
1387199092000.0,1387199092000.0,0.125,92.0625,False,False,False
1387199093000.0,1387199093000.0,0.0,92.328125,False,False,False
1387199094000.0,1387199094000.0,0.0,92.03125,False,False,False
1387199095000.0,1387199095000.0,1.0,92.34375,False,False,False
1387199096000.0,1387199096000.0,0.0,92.03125,False,False,False
1387199097000.0,1387199097000.0,0.0,92.328125,False,False,False
1387199098000.0,1387199098000.0,0.0,92.046875,False,False,False
1387199099000.0,1387199099000.0,0.0,92.328125,False,False,False
1387199100000.0,1387199100000.0,0.0,92.03125,False,False,False
1387199101000.0,1387199101000.0,0.0,92.03125,False,False,False
1387199102000.0,1387199102000.0,0.125,92.359375,False,False,False
1387199103000.0,1387199103000.0,0.0,92.03125,False,False,False
1387199104000.0,1387199104000.0,0.0,92.03125,False,False,False
1387199105000.0,1387199105000.0,0.0,92.34375,False,False,False
1387199106000.0,1387199106000.0,0.0,92.03125,False,False,False
1387199107000.0,1387199107000.0,0.0,92.03125,False,False,False
1387199108000.0,1387199108000.0,0.0,92.328125,False,False,False
1387199109000.0,1387199109000.0,0.0,92.046875,False,False,False
1387199110000.0,1387199110000.0,0.125,92.03125,False,False,False
1387199111000.0,1387199111000.0,0.0,92.328125,False,False,False
1387199112000.0,1387199112000.0,0.0,92.046875,False,False,False
1387199113000.0,1387199113000.0,0.0,92.046875,False,False,False
1387199114000.0,1387199114000.0,0.125,92.328125,False,False,False
1387199115000.0,1387199115000.0,0.125,92.03125,False,False,False
1387199116000.0,1387199116000.0,0.0,92.046875,False,False,False
1387199117000.0,1387199117000.0,0.0,92.03125,False,False,False
1387199118000.0,1387199118000.0,0.0,92.03125,False,False,False
1387199119000.0,1387199119000.0,0.0,92.328125,False,False,False
1387199120000.0,1387199120000.0,0.0,92.0625,False,False,False
1387199121000.0,1387199121000.0,0.0,92.03125,False,False,False
1387199122000.0,1387199122000.0,0.0,92.03125,False,False,False
1387199123000.0,1387199123000.0,0.0,92.328125,False,False,False
1387199124000.0,1387199124000.0,0.0,92.046875,False,False,False
1387199125000.0,1387199125000.0,0.0,92.03125,False,False,False
1387199126000.0,1387199126000.0,0.0,92.03125,False,False,False
1387199127000.0,1387199127000.0,0.0,92.03125,False,False,False
1387199128000.0,1387199128000.0,0.125,92.34375,False,False,False
1387199129000.0,1387199129000.0,0.0,92.03125,False,False,False
1387199130000.0,1387199130000.0,0.0,92.03125,False,False,False
1387199131000.0,1387199131000.0,0.25,92.046875,False,False,False
1387199132000.0,1387199132000.0,0.25,92.34375,False,False,False
1387199133000.0,1387199133000.0,0.0,92.03125,False,False,False
1387199134000.0,1387199134000.0,0.25,92.03125,False,False,False
1387199135000.0,1387199135000.0,0.0,92.03125,False,False,False
1387199136000.0,1387199136000.0,0.0,92.046875,False,False,False
1387199137000.0,1387199137000.0,0.0,92.03125,False,False,False
1387199138000.0,1387199138000.0,0.0,92.328125,False,False,False
1387199139000.0,1387199139000.0,0.0,92.046875,False,False,False
1387199140000.0,1387199140000.0,0.0,92.046875,False,False,False
1387199141000.0,1387199141000.0,0.25,92.03125,False,False,False
1387199142000.0,1387199142000.0,0.125,92.03125,False,False,False
1387199143000.0,1387199143000.0,0.0,92.34375,False,False,False
1387199144000.0,1387199144000.0,0.0,92.03125,False,False,False
1387199145000.0,1387199145000.0,0.0,92.03125,False,False,False
1387199146000.0,1387199146000.0,0.0,92.03125,False,False,False
1387199147000.0,1387199147000.0,0.0,92.03125,False,False,False
1387199148000.0,1387199148000.0,0.0,92.34375,False,False,False
1387199149000.0,1387199149000.0,0.0,92.03125,False,False,False
1387199150000.0,1387199150000.0,0.0,92.046875,False,False,False
1387199151000.0,1387199151000.0,0.0,92.046875,False,False,False
1387199152000.0,1387199152000.0,0.0,92.03125,False,False,False
1387199153000.0,1387199153000.0,0.279508501291275,92.328125,False,False,False
1387199154000.0,1387199154000.0,0.0,92.03125,False,False,False
1387199155000.0,1387199155000.0,0.0,92.046875,False,False,False
1387199156000.0,1387199156000.0,0.0,92.328125,False,False,False
1387199157000.0,1387199157000.0,0.0,92.03125,False,False,False
1387199158000.0,1387199158000.0,0.125,92.03125,False,False,False
1387199159000.0,1387199159000.0,0.0,92.0625,False,False,False
1387199160000.0,1387199160000.0,0.0,92.328125,False,False,False
1387199161000.0,1387199161000.0,0.0,92.03125,False,False,False
1387199162000.0,1387199162000.0,0.0,92.03125,False,False,False
1387199163000.0,1387199163000.0,0.0,92.046875,False,False,False
1387199164000.0,1387199164000.0,0.0,92.03125,False,False,False
1387199165000.0,1387199165000.0,0.0,92.03125,False,False,False
1387199166000.0,1387199166000.0,0.0,92.03125,False,False,False
1387199167000.0,1387199167000.0,0.0,92.046875,False,False,False
1387199168000.0,1387199168000.0,0.0,92.03125,False,False,False
1387199169000.0,1387199169000.0,0.0,92.046875,False,False,False
1387199170000.0,1387199170000.0,0.0,92.328125,False,False,False
1387199171000.0,1387199171000.0,0.0,92.046875,False,False,False
1387199172000.0,1387199172000.0,0.0,92.03125,False,False,False
1387199173000.0,1387199173000.0,0.125,92.03125,False,False,False
1387199174000.0,1387199174000.0,0.0,92.03125,False,False,False
1387199175000.0,1387199175000.0,0.0,92.03125,False,False,False
1387199176000.0,1387199176000.0,0.0,92.046875,False,False,False
1387199177000.0,1387199177000.0,0.0,92.03125,False,False,False
1387199178000.0,1387199178000.0,0.0,92.03125,False,False,False
1387199179000.0,1387199179000.0,0.0,92.046875,False,False,False
1387199180000.0,1387199180000.0,0.0,92.046875,False,False,False
1387199181000.0,1387199181000.0,0.0,92.03125,False,False,False
1387199182000.0,1387199182000.0,0.0,92.03125,False,False,False
1387199183000.0,1387199183000.0,0.125,92.03125,False,False,False
1387199184000.0,1387199184000.0,0.0,92.03125,False,False,False
1387199185000.0,1387199185000.0,0.0,92.046875,False,False,False
1387199186000.0,1387199186000.0,0.0,92.03125,False,False,False
1387199187000.0,1387199187000.0,0.0,92.03125,False,False,False
1387199188000.0,1387199188000.0,0.0,92.03125,False,False,False
