gps_millis,x_rx_wls_m,y_rx_wls_m,z_rx_wls_m,b_rx_wls_m,lat_rx_wls_deg,lon_rx_wls_deg,alt_rx_wls_m
1387167603007.0,-1271330.7722993835,5641586.167400025,2685683.910426857,2073232.0444755307,25.057700858266188,102.69946281153776,1931.2574947999171
1387167604007.0,-1271331.3593981063,5641586.1760795275,2685684.0604477725,2073325.6657831823,25.057701559046105,102.69946846702987,1931.44562213647
1387167605007.0,-1271344.3133221166,5641596.355930532,2685702.004745502,2073428.8774980425,25.05779941578625,102.69957149626686,1950.6214758684398
1387167606007.0,-1271331.5229995274,5641585.917589672,2685684.2685753345,2073512.2942842892,25.057704086913724,102.69947061126348,1931.3379183668605
1387167607007.0,-1271331.3183621208,5641585.445865829,2685683.945008959,2073605.1158140209,25.057703372544136,102.69946966084655,1930.7432530791389
1387167608007.0,-1271331.8471207467,5641585.496895912,2685684.454063028,2073698.9326878735,25.057706899627444,102.69947466023196,1931.1092499477834
1387167609007.0,-1271332.0550019022,5641585.523425121,2685684.715234884,2073792.4321428887,25.057708761184156,102.69947661165254,1931.284707519644
1387167610007.0,-1271332.362261267,5641585.566990944,2685685.0166166513,2073886.0052215522,25.057710804438862,102.69947948647179,1931.5120416845555
1387167611007.0,-1271332.2522976294,5641585.054261182,2685684.7856646013,2073978.8686331585,25.05771092056607,102.6994795404044,1930.9392175865846
1387167612007.0,-1271332.5672779882,5641585.225026462,2685685.2084196815,2074072.5700749657,25.05771347530241,102.69948221280237,1931.3319035229547
1387167613007.0,-1271332.6211761557,5641585.030931234,2685685.1683869474,2074165.7858749083,25.057713826461505,102.69948315648408,1931.1541561050956
1387167614007.0,-1271332.8734638188,5641584.995771785,2685685.3822292914,2074259.2318422112,25.05771549379239,102.69948567146082,1931.2638960852084
1387167615007.0,-1271332.5594955648,5641584.729143104,2685685.1020559436,2074352.093822797,25.05771446129878,102.69948321763975,1930.847082995645
1387167616007.0,-1271332.8441132891,5641585.135101556,2685685.138537646,2074445.6912753948,25.057713006686345,102.69948508431717,1931.2779686533486
1387167617007.0,-1271334.088306377,5641585.972123429,2685685.481996928,2074540.0645689399,25.057711648085565,102.69949528655619,1932.4109048016521
1387167618007.0,-1271334.6503177204,5641586.419386136,2685685.4343028706,2074633.7605528866,25.05770911821647,102.69949974431935,1932.8978829708033
1387167619007.0,-1271335.6274928134,5641587.178542377,2685685.5475937,2074727.824279098,25.057706392631378,102.69950753538043,1933.8113486145314
1387167620007.0,-1271336.799182711,5641588.011446885,2685685.8375855465,2074822.1051267197,25.05770467319461,102.69951704582483,1934.90356262969
1387167621007.0,-1271336.854289804,5641588.215535302,2685685.7830137336,2074915.486532276,25.057703419762678,102.6995171339283,1935.0717813396707
1387167622007.0,-1271337.3641884453,5641588.438051701,2685685.8632020266,2075009.1220738909,25.057702817171293,102.699521577519,1935.4039307783996
1387167623007.0,-1271322.3785991573,5641586.152998556,2685679.048040866,2075091.279297207,25.05766821350951,102.69938171651658,1927.5138292014778
1387167624007.0,-1271321.749028471,5641585.743832839,2685678.805744293,2075183.9487259,25.05766828733239,102.69937652279185,1926.924244873053
1387167625007.0,-1271321.7296039802,5641585.723144738,2685678.665431515,2075277.1114434253,25.05766723369704,102.69937638011035,1926.842667359932
1387167626007.0,-1271335.113834173,5641587.908749026,2685684.7395994463,2075380.3675918614,25.05769749593452,102.69950098037219,1934.0121432715814
1387167627007.0,-1271335.6681027238,5641588.217295835,2685684.853679356,2075474.0682181704,25.057696812351562,102.69950566542762,1934.4435097293056
1387167628007.0,-1271336.7744604582,5641588.883799959,2685685.083086409,2075568.2203906565,25.05769527297555,102.6995149068541,1935.3500020601045
1387167629007.0,-1271324.6415142461,5641587.394402993,2685679.1727510192,2075652.466506658,25.057662702766912,102.6994008841235,1929.1143522047437
1387167630007.0,-1271325.8524277546,5641588.10681999,2685679.5805683983,2075746.7612544203,25.057662362905532,102.69941103611886,1930.1578012506925
1387167631007.0,-1271326.1931635013,5641588.37521381,2685679.8258506088,2075840.4362681762,25.057663081085614,102.69941374481053,1930.5667270248023
1387167632007.0,-1271282.9105373474,5641562.28833304,2685666.0285675316,2075896.3877565847,25.05768392335874,102.69905222764909,1893.0501880956467
1387167633007.0,-1271283.12817306,5641562.578610447,2685666.396170971,2075990.1068871962,25.05768566340007,102.69905369892683,1893.5057439852624
1387167634007.0,-1271324.0745149585,5641588.32128001,2685679.4109698976,2076119.154555478,25.057661670640925,102.69939338522481,1929.9214307179786
1387167635007.0,-1271323.6416471968,5641588.046405725,2685679.374706073,2076212.079886038,25.057662762823416,102.69938980017649,1929.576956038751
1387167636007.0,-1271323.2038767322,5641587.55674614,2685679.261673414,2076304.846133603,25.057664032391788,102.6993866355506,1929.0091807647789
1387167637007.0,-1271322.2374248756,5641587.154556116,2685679.1069529383,2076397.4258875356,25.05766507923131,102.69937817062628,1928.3957638328852
1387167638007.0,-1271321.9709025163,5641587.037657569,2685679.1328044003,2076490.5089837958,25.05766595040392,102.69937584925476,1928.2503303444319
1387167639007.0,-1271321.0220902197,5641586.406995347,2685678.9293219084,2076582.9781970016,25.05766743568614,102.69936805243536,1927.417868443585
1387167640007.0,-1271320.3712840546,5641586.13232796,2685678.832007353,2076675.7579322115,25.057668211114905,102.69936236052447,1927.0043186095338
1387167641007.0,-1271319.9397756357,5641585.905084302,2685678.8003559937,2076768.6882847734,25.057669162262354,102.69935868487002,1926.7041605467236
1387167642007.0,-1271319.093714199,5641585.321004447,2685678.5088558607,2076861.1698305095,25.057669667945138,102.69935177969201,1925.8960488577807
1387167643007.0,-1271318.9792003587,5641585.377388157,2685678.548330747,2076954.411516102,25.057669876645914,102.69935055009256,1925.9397903340166
1387167644007.0,-1271318.703599989,5641585.305717056,2685678.554760212,2077047.5103044368,25.057670428025588,102.69934804247245,1925.8242917763246
1387167645007.0,-1271319.3789351468,5641585.770400411,2685678.891754343,2077141.4307222096,25.057670882919485,102.69935355760298,1926.512159028136
1387167646007.0,-1271319.5293354758,5641585.769935257,2685678.946377446,2077234.7720130547,25.057671204838197,102.699355012259,1926.5648339357253
1387167647007.0,-1271320.20365067,5641585.7639461355,2685679.259524831,2077328.4773277992,25.057673220639817,102.699361542666,1926.82645500005
1387167648007.0,-1271289.4120617358,5641564.500374168,2685670.2763302117,2077394.452435583,25.05770493918236,102.69911024849365,1898.0987923796433
1387167649007.0,-1271289.8423371755,5641564.610026245,2685670.405253429,2077488.02993492,25.057705222768462,102.69911416837584,1898.3359827496931
1387167650007.0,-1271320.9192099734,5641585.030461354,2685679.57992708,2077608.4350148998,25.05767797372254,102.69937005620753,1926.4564589543133
1387167651007.0,-1271320.851083356,5641585.097288676,2685679.5807722015,2077701.6907320751,25.057677788695415,102.6993692522014,1926.5023065422981
1387167652007.0,-1271323.3421163273,5641588.372382455,2685684.3414737447,2077800.0182864885,25.057702403747975,102.69938619517916,1931.9089558901155
1387167653007.0,-1271322.9660003842,5641588.133342828,2685684.10993901,2077892.8960241436,25.05770171823456,102.6993830805964,1931.5247477832897
1387167654007.0,-1271322.1829297496,5641587.644970073,2685683.786945624,2077985.4433961783,25.05770155666247,102.69937657578818,1930.800420180933
1387167655007.0,-1271320.7070314228,5641586.585830108,2685683.1984485355,2078077.2794452235,25.057701934909975,102.69936461783655,1929.321271528851
1387167656007.0,-1271319.740520332,5641586.026564941,2685683.079218492,2078169.8332767338,25.057703857635364,102.69935649444851,1928.584063843203
1387167657007.0,-1271321.1840202934,5641581.753613117,2685679.1639907113,2078259.770772268,25.057686569264995,102.6993797527061,1923.4372125760701
1387167658007.0,-1271320.955281023,5641581.384414487,2685679.0144966273,2078352.7137433433,25.057686915947507,102.69937834602888,1923.002076314087
1387167659007.0,-1271320.2610327145,5641580.664735617,2685678.7322521415,2078445.2457467315,25.057687875349863,102.6993732034858,1922.1082855772534
1387167660007.0,-1271319.9378926894,5641580.505560692,2685678.6967492416,2078538.2913666123,25.05768845014456,102.69937042697144,1921.8882310441277
1387167661007.0,-1271318.916675725,5641579.97252952,2685678.270219436,2078630.6843208775,25.05768780875359,102.69936171769585,1921.033161532833
1387167662007.0,-1271318.815292157,5641580.164673774,2685678.4583761427,2078724.0990504138,25.057688715725323,102.69936031931151,1921.2624635919676
1387167663007.0,-1271318.3832282186,5641580.240666411,2685678.620516134,2078817.3001192396,25.057690120957645,102.69935597782747,1921.3122478658076
1387167664007.0,-1271317.3631383947,5641579.78771399,2685678.336508034,2078909.750162254,25.057690345183918,102.69934710502964,1920.5885326152068
1387167665007.0,-1271316.9644076645,5641579.45745268,2685678.5718112118,2079002.8210483545,25.057693835347184,102.69934397054679,1920.3169267164326
1387167666007.0,-1271316.7057821136,5641579.363486023,2685678.650280235,2079095.9789413025,25.057695044542886,102.69934167554858,1920.21561655864
1387167667007.0,-1271316.0013946274,5641579.168124213,2685678.78785534,2079189.0022323253,25.057697489578498,102.6993352930262,1919.9609635892937
1387167668007.0,-1271316.5082060406,5641579.455559128,2685679.3325089444,2079282.9234912393,25.057700444661698,102.69933956540494,1920.546582140134
1387167669007.0,-1271317.313950409,5641579.736077543,2685679.780413151,2079376.9072171059,25.057702383398105,102.6993467420849,1921.144643004714
1387167670007.0,-1271318.1536078495,5641580.177838402,2685680.2396285282,2079470.931158428,25.05770378488124,102.69935389534916,1921.8967415489349
1387167671007.0,-1271319.2237697567,5641580.573093635,2685680.574732395,2079564.936075289,25.057704151439058,102.69936337776633,1922.6010808941874
1387167672007.0,-1271320.3329522396,5641580.878000715,2685680.7046503457,2079658.8454695665,25.057703144638126,102.69937343410255,1923.1464460113946
1387167673007.0,-1271322.2107192774,5641581.574152646,2685681.0123222363,2079753.351940988,25.057701486369666,102.6993900667888,1924.2659067880131
1387167674007.0,-1271323.414148821,5641581.954574714,2685681.1367616146,2079847.383686615,25.057700074011745,102.69940086955862,1924.894455047824
1387167675007.0,-1271326.1642268286,5641585.340320307,2685685.628181665,2079945.724907198,25.057721857340766,102.69942007522998,1930.3364302209814
1387167676007.0,-1271324.5758804318,5641581.966193044,2685681.1724615367,2080034.4357999351,25.05769934638684,102.69941207257581,1925.1511960526645
1387167677007.0,-1271325.0460671375,5641582.152307702,2685681.5273732822,2080128.1742200104,25.057701158840967,102.69941621164132,1925.5596211380855
1387167678007.0,-1271325.6767016335,5641582.463350573,2685681.9164551403,2080222.0719044458,25.057702650004014,102.69942162936172,1926.1248725187752
1387167679007.0,-1271327.4784082077,5641583.321694306,2685683.0032531065,2080317.1005832872,25.05770682044981,102.69943717363503,1927.702503613768
1387167680007.0,-1271328.4451312744,5641583.809296201,2685683.681037661,2080411.3576601052,25.057709731093702,102.69944545514794,1928.6129892989
1387167681007.0,-1271329.8418012883,5641584.507409278,2685684.5686156573,2080506.0317975904,25.057713210648863,102.69945743365996,1929.8839845384457
1387167682007.0,-1271331.2309548284,5641585.372572535,2685685.6171501116,2080600.8820755458,25.057717389497714,102.69946897567782,1931.369278896245
1387167683007.0,-1271332.4363739847,5641585.996976323,2685686.4935851833,2080695.4509513783,25.057721213494688,102.69947926625557,1932.5323298851663
1387167684007.0,-1271332.8499891078,5641586.374192219,2685687.1228082636,2080789.4562271647,25.05772460348604,102.69948244231426,1933.2145489291415
1387167685007.0,-1271332.7029380235,5641586.332033581,2685687.4878272917,2080882.8949161372,25.05772786837655,102.69948111286725,1933.302604682297
1387167686007.0,-1271332.296841824,5641586.1827606745,2685687.571360905,2080976.0169145968,25.057729449113243,102.69947751301036,1933.125195574052
1387167687007.0,-1271332.3151831273,5641586.2126228735,2685687.7574595143,2081069.4715725617,25.05773084376085,102.69947762524065,1933.234056590446
1387167688007.0,-1271332.712033461,5641586.02237797,2685687.7722323886,2081162.9003837726,25.057731340442675,102.69948187521926,1933.1512214311017
1387167689007.0,-1271332.6388462076,5641585.902339244,2685687.9853583826,2081256.2790019582,25.057733591893783,102.69948142930319,1933.1208312785104
1387167690007.0,-1271328.1761546272,5641582.390210348,2685682.204231554,2081343.1974510695,25.057703175174574,102.69944594627059,1926.679875017626
1387167691007.0,-1271333.5389754775,5641585.50892368,2685688.3429850354,2081443.3363786722,25.057737226176133,102.6994909860621,1933.103885735791
